Street,Address,rent_cold,additional_cost,free_from,distance,gadgets,female_roommates,male_roommates,divers_roommates,room_description,location_description,flat_live,additional,smoker,accessible,kind_of_flat,Url,type,district,size,price,link

"Dimpfelstraße, 51",04347 Leipzig Leipzig,354,36,01.08.2023,5,"Waschmaschine,Spülmaschine,Keller",1,1,0," Wir bieten euch ein wunderschönes 16m² Zimmer in unserer WG an. Das Zimmer gibt es leer vielleicht könnt ihr auch ein paar Möbel übernehmen allerdings ist, das noch nicht entschieden."," Unsere WG befindet sich zwei Minuten vom Mariannenpark entfernt. Direkt nebenan gibt es einen Bäcker und etwa 5 Minuten entfernt gibt es einen Rewe, einen Konsum und die Haltestelle der Linie 1, 70 und 90.","Wir sind eine offene freundliche Gemeinschafts-WG. Wir kochen gerne miteinander oder schauen Netflix. Ab und zu machen wir auch WG-Abende mit ein paar Freunden. Nichts ist in unserer WG ein muss. Wenn ihr mal keinen Bock habt, was mit anderen zumachen ist das auch nicht schlimm. Wir besitzen auch in dem Sinne keinen Putzplan. Im Grunde appellieren wir immer an den gesunden Menschenverstand unserer MitbewohnerInnen, dass wir Ordnung halten und mit Partys nicht übertreiben. Wenn ihr aber mal viel zu tun habt, ist es auch nicht so schlimm wenn Ihr etwas liegen lasst. :)Zu deinen Zukünftigen MitbewohnerInnen: Hannes studiert Lehramt für Biologie und Geschichte. Er ist ein wahrer Pflanzenliebhaber und Wanderfreund. Lea studiert Digital Humanities, liebt es zu kochen und interessiert sich für Sprachen.", Wir werden bald unseren Stromvertrag neu aufsetzen müssen. Die Stromkosten werden sich dadurch ein wenig erhöhen.,0.0,0,"Studenten-WG, keine Zweck-WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Leipzig.8411439.html,3er WG,,    16,390 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Leipzig.8411439.html

Zentralstraße 1,04109 Leipzig Zentrum-West,257,47,01.08.2023,2,,1,1,0, Dein Zimmer ist groß und schön hell! Außerdem kannst du gerne auch folgende Möbel übernehmen:  - Schminktisch mit Regalen (ohne Spiegel)  - Regel über dem Bett  - Kleiderstange," Wir wohnen eigentlich mitten im Zentrum von Leipzig 🙌🏻 Bis zur Stadt sind es zu Fuß nur 3 min und die 9, 1 und 3 fahren direkt vor unserer Haustür ab!Ganz in der Nähe haben wir einen Norma, Konsum und Rewe und natürlich alle Geschäfte die es in der Stadt gibt 😅","Hallöchen 🌞Wir sind eine 3er Wg bestehend aus Simon, Lena & Anna. Da Lena ab dem 01.08. in eine eigene Wohnung zieht, suchen wir ab August eine coole neue Nachmieterin oder Nachmieter 🙌🏻Kurz zu uns:Ich bin Simon, 24 und gerade im Referendariat. Meine Hobbys sind Kochen, Putzen und Freunde treffen 🙃Ich bin Anna, 23 Jahre alt und studiere aktuell im 4.Semester Betriebswirtschaftslehre. Aktuell befinde ich mich gerade im Praxissemester und komme erst Ende August/ Anfang September wieder zurück nach Leipzig. Daher würdest du die ersten 4 Wochen noch mit Karo, meiner Untermieterin zusammen wohnen. Wir unternehmen sehr gerne was zusammen, seien es gemeinsame Kochabende, was trinken gehen oder einfach nur zusammen auf dem Sofa liegen und Filme schauen. Wir sind also auf keinen Fall eine Zweck- Wg! Außerdem haben wir einen Putzplan, der einmal in der Woche gedreht wird. 🤓"," Wir haben eine Waschmaschine und einen Drucker in der Wohnung. Außerdem auch einen Abstellraum im Keller und einen kleinen Hinterhof, wo wir unsere Fahrräder unterbringen können.Dadurch das ein neuer Vertrag geschrieben wird, kann es leider seinen, dass die Kosten sich nochmal erhöhen.Außerdem bezahlen wir aktuell nichts für das Internet, das wird sich aber ab Okober auch noch ändern, d.h. Es werden nochmal ca. 20 € mehr sein",0.0,1,"Studenten-WG, keine Zweck-WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Zentrum-West.10166769.html,3er WG,Zentrum-West,    24,304 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Zentrum-West.10166769.html

Demmeringstraße 14,04177 Leipzig Leipzig,800,0,23.08.2023,2,"Waschmaschine,Spülmaschine,Terrasse,Balkon,Garten,Gartenmitbenutzung,Fahrradkeller",,,," Wir bieten unsere liebevoll eingerichtete und gemütliche Wohnung in bester Lage zur Zwischenmiete, nahe dem Lindenauer Markt, da wir von Ende August ( c.a. 23./24.08) bis Ende September ( c.a. 28.09) verreisen werden. 
 Die Wohnung eignet sich perfekt für Paare und ist dafür ideal geschnitten. Das jetzige ""Musikzimmer"" ( das mit dem Teppichboden), kann bei Bedarf auch leer geräumt werden, fals ihr es zum Mini- Schlafzimmer machen möchtet. 
 Im Wohnzimmer gibts einen Beamer, perfekt für Filmeabende. Wenn ihr einzieht werden wir auch Holzfußboden auf dem Balkon verlegt haben, was ihn noch gemütlicher machen wird :-) ! 
 Den Garten kann man gerne mitbenutzen zum grillen, chillen oder Wäsche aufhängen. 
 In der Wohnung bleiben unsere beiden Katzenkinder,die auch versorgt werden müssten, deshalb ist es uns wichtig, dass jemand in die Wohnung kommt der auch Lust auf Katzen hat und prinzipiell tierlieb ist :-) beide sind super lieb, der eine sehr neugierig ( siehe Bild) , die andere eher zurrückhaltend. Die Wohnung würde eigentlich 900 pro Monat kosten mit allem, wir sind mit der Miete runtergegangen, als kleine ""Entschädigung"" fürs Katzen hüten. Für ausreichend Futter, Katzenstreu ect. werden wir natürlich sorgen. Im Notfall wohnen auch Freunde in der Nähe, die die beiden schon gut kennen und die ihr kontaktieren könnt. 
 Als Kaution haben wir uns c.a. 500 Euro vorgestellt, die Ihr aber selbstverständlich wieder zurück bekommt wenn alles in Ordnung ist.",,,,,0,,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Leipzig.10168091.html,3-Zimmer-Wohnung  ,,    70,800 ,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Leipzig.10168091.html

Lößniger Str. 17,04275 Leipzig Südvorstadt,305,50,01.07.2023,5,"Waschmaschine,Spülmaschine,Keller,Aufzug,Haustiereerlaubt",0,3,0," Das WG Zimmer befindet sich im 5. OG das man mit der Treppe oder auch dem Auzug erreichen kann. Oben angekommen liegt die WG rechts und in der WG eingetreten liegt das Zimmer links. Es ist 9m² groß, besitzt ein Doppelfenster, eine Lampe und eine sehr gute Aussicht auf Leipzig und das Völkerschlachtdenkmal. Ansonsten ist das Zimmer frei zu gestalten da es leer übergeben wird. Des Weiteren besitzt die Wohnung ein voll ausgestattetes Bad mit Dusche, Badewanne und Waschmaschine ebenso wie eine voll ausgestattete Küche mit Ofen, Geschirrspüler, Mikrowelle etc. ."," Das Zimmer befindet sich in perfekter Lage zum Zentrum und liegt in einer belebten Gegend, der Südvorstadt. Mit der S-Bahn Haltestelle MDR und der Straßenbahnhaltestelle Arthur-Hoffmann Str./Kurt-Eisner Str. liegtdie Innenstadt nur 5-10 min. entfernt und kann mit dem Fahrrad sogar noch schneller erreicht werden. Ein Supermarkt liegt 4 min. entfernt und die Karli auf der neben der HTWK und etlichen Bars auch viele Restaurants ihre Heimat haben haben, liegt nur 8 min. zu Fuß entfernt.","Aktuell leben noch drei weitere männliche Mitbewohner in der WG. Einer ist selten da, die anderen zwei jedoch immer. Beide verstehen sich gut und beleben diese WG zusammen mit der Katze die auch hier zuhause ist. Ein wenig Englischkenntnisse können nicht schaden und einem guten WG Leben sollte nichts im Weg stehen.", Die Kaution kann sich noch ein wenig ändern da der Mietpreis erst kürzlich angepasst werden musste. Dies wird jedoch rechtzeitig mitgeteilt.,,0,gemischte WG,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Suedvorstadt.10167978.html,4er WG,Südvorstadt,    9,355 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Suedvorstadt.10167978.html

Fichtestraße,04275 Leipzig Südvorstadt,291,0,01.07.2023,4,"Waschmaschine,Spülmaschine,Balkon,Keller",1,1,1," In unserer sweeten WG wird für Juli & August ein Zimmer frei und wir freuen uns auf eine Person, die dieses mit Leben füllen mag. 
 Das 13qm große Zimmer hat einen wunderschönen Balkon in Richtung Süden heraus. Außerdem ist bereits ein Hochbett eingebaut und insgesamt beträgt die Miete 291€ (Warmmiete, Internet, Strom, Gas, Gemüsekiste). 
 Ansonsten besitzt die Wohnung noch drei weitere WG-Zimmer, ein Bad mit Badewanne und eine Küche, in der mit ein bisschen Kuscheln viele Menschen Platz finden. Besonders erwähnenswert ist zusätzlich zum Südbalkon ein weiterer grün bepflanzter Balkon, der sich an die Küche anschließt und in den ruhigen Hinterhof zeigt. Es wäre nice, wenn du dir vorstellen könntest, den Südbalkon mit allen in der WG zu teilen. Das heißt selbstverständlich nicht, dass die Tür nicht mal zugezogen werden darf. 
 Die wichtigsten WG-Utensilien sind alle vorhanden, sogar eine Spülmaschine, die das WG-Leben sehr erleichtert! 
 Platz für dein Fahrrad ist im Hinterhof."," Die Wohnung liegt in der Südvorstadt in der Fichtestraße, einer Querstraße zur (und auch tatsächlich direkt an der) Karli. In weniger als einer Minute stehst du in einem kleinen Konsum, der alle wichtigen Dinge zur alltäglichen Versorgung bereithält. Etwas weiter gibt es aber auch in bis zu 10 Gehminuten einen Rewe, Aldi, Netto und sogar einen Unverpacktladen! Öffentliche Verkehrsmittel (Tram 9,10,11; Bus 70) erreichst du zu Fuß in 3-4Minuten 
 an der Haltstelle Richard-Lehmann-Straße/HTWK. Mit dem Fahrrad bist du auch in 5 Minuten an der S-Bahn-Station MDR oder zu Fuß in 10 Minuten. Besonders schön ist die Nähe zum Fockeberg, dem Auwald und damit auch zum Cospudener See (15min Fahrrad).","Heyho, wir sind Flöhle (er/ihm), Kamo (keine Pronomen) und Gesine (sie/ihr). Wir sind alle sehr aktive Menschen, viel unterwegs, in verschiedenen Polit-Gruppen aktiv, aber auch sehrgern mal gemeinsam klettern, schwimmen, am See oder auf Demos. Ein gemeinschaftliches Zusammenleben ist uns wichtig und wir verbringen gern Zeit miteinander in der Küche oder auf dem Balkon, egal ob fürs Frühstück, gemeinsame Kochen, Kaffeetrinken, uns über unseren Tag auszutauschen oder um spannende Diskussionen zu führen, gemeinsam zu Singen und Spieleabende zu veranstalten oder was auch immer ansteht. 
 Wir teilen unser Essen, unter anderem eine Gemüsekiste von einer Solawi, und auch das Geld für die Einkäufe.
 Im Sommer werden wir drei eher mehr als weniger unterwegs und beschäftigt sein und das WG-Leben wird sich dadurch sicher eher ruhiger als sonst gestalten. Nichtsdestotrotz freuen wir uns auf eine Person, die Lust auf gemeinsame Zeit hat und uns ist wichtig, dass wir gut miteinander über das WG-Zusammenleben kommunizieren können. 
 Vorrangig suchen wir nach FLINTA*. 
 Was wir sonst so machen würden wir dir gern bei einem Treffen erzählen. 
 Wenn das für dich passend klingt, meld dich doch gern bei uns, schreib auch gern deine Pronomen dazu und vllt sehen wir uns dann schon bald für eine Limo auf unserem zweiten Balkon ;)"," Frei ist das Zimmer ab Anfang Juli bis Ende August. Wenn du Lust auf die WG und das Zimmer hast, aber nicht die ganze Zeit kannst oder auch ein paar Tage früher oder später einziehen/ausziehen möchtest, ist das kein Problem! Schreib einfach gerne, was der Zeitraum wäre. 
 Wir haben uns zum Kennenlernen den Abend vom 22.Juni (nächsten Donnerstag) ausgeguckt: da haben wir alle Kraft und Zeit und Lust euch kennenzulernen. Wenn du an dem Tag Zeit hast, uns kennenzulernen wäre das super. Wenn das nicht so passt, dann schreib und doch gerne deinen Lieblings-Wunsch-Termin. Online über Zoom/BBB geht natürlich auch! 
 Wir drei freuen uns",,0,"keine Zweck-WG, gemischte WG, Vegetarisch/Vegan",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Suedvorstadt.9460619.html,4er WG,Südvorstadt,    14,291 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Suedvorstadt.9460619.html

Nonnenstraße,04229 Leipzig Schleußig,590,0,15.06.2023,3,"Waschmaschine,Balkon,Keller",1,0,0," Die 90qm große Maisonette Wohnung bietet auf zwei Ebenen Platz für das Leben und Wohnen. Dein Zimmer ist auf der oberen Ebene und unmöbiliert.  
 Es gibt einen Südbalkon und Kanalzugang mit Steg zur Weißen Elster. Alles für ein Wohlfühl Ambiente für einen wunderbaren Sommer im Westen."," Die verschiedene Straßenbahnen liegen in 2-5 Minuten Geh-Minuten, womit man in 15 Minuten alle wichtigen Orte in der Stadt erreichen kann. 
 Mit dem Rad brauchst du zu den angrenzenden Seen um die 20min und der Clara-Zetkin Park ist einen Katzensprung entfernt (keine 5min zu Fuß). 
 Aldi ist in der selben Straße, Konsum, Späti, Bäcker, Bars alles quasi ums Eck. 
 Die Wohnung ist ruhig gelegen undman entkommt dem Stadtlärm trotz guter Anbindung.","Ich bin Tina, 33, und lebe derzeit zur Zwischenmiete in der tollen Wohnung. Ich bin beruflich gerade sehr eingespannt und werde nicht viel Zeit für WG Leben haben. 
 Dennoch freue ich mich über spontanes Kochen oder einen Kaffee in der Küche 
 Ansonsten ist es mir Ehrlichkeit, Transparenz und eine gewisse Grundsauberkeit sind mir sehr wichtig."," Zwischenmiete ab jetzt - 01.09.23  
 Die Kaution beträgt 450 Euro und du bekommst einen Mietvertrag für den Zeitraum. Wichtig ist, dass du standardmäßig eine Haftpflichtversicherung hast.  
 Die WG wird aufgelöst zum 01.09. und die Wohnung geht zurück an den Vermieter. Es muss nichts gesrichen werden oder sonstiges.",1.0,0,Zweck-WG,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Schleussig.10144434.html,2er WG,Schleußig,    14,590 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Schleussig.10144434.html

Kochstr. 26,04275 Leipzig Südvorstadt,142,85,05.08.2023,2,"Waschmaschine,Spülmaschine,Gartenmitbenutzung,Keller,Fahrradkeller",1,2,0," In dieser WG wird es dir an nichts fehlen. Das Bad ist schön hell und in der Küche ist viel Platz sich gemütlich hinzusetzten und von Kaffeemaschine bis Mikrowelle ist alles da. Besonders auf unsere Spülmaschine wollen wir nicht mehr verzichten. Bei den 252€ sind auch sonstige Kosten schon mit dabei, auch super schnelles 1000 mbit/s Internet, Nebenkosten, Rundfunkbeitrag etc. Eventuell wird es von Anni noch ein kleinen Aufschlag für die Mitbenutzung der Möbel in ihrem Zimmer geben, aber das kann man dann noch besprechen :)"," Wir wohnen in der Kochstraße, die parallel zur Karl-Liebknecht-Straße (Karli) liegt. Die Karli ist die vielfältigste Straße in der Südvorstadt. Dort liegen dutzende Bars, Eisdielen etc. Das heißt, du wirst hier im Herzen der Südvorstadt wohnen mit unzähligen Möglichkeiten direkt um die Ecke.  
 Da der Verkehr über die Karli läuft, ist unsere Straße sehr ruhig, wodurch deinem erholsamen Schlaf nichts mehr im Wege stehen wird. 
 Direkt neben dem Haus ist ein neuer Konsum-Einkaufsladen, den wir alle sehr zu schätzen gelernt haben und dir mit langen Öffnungszeiten spontane Einkäufe ermöglicht. Aber auch Aldi, Rewe, Netto, Lidl und mehrere Bäcker und Spätis liegen sehr nahe. 
 Man kann von hier aus auch den Rest von Leipzig schnell mit dem Fahrrad erreichen und auch wenn du in den Park oder zum See willst, ist die Südvorstadt eine sehr gute Wahl. Falls dir doch mal die Motivation fehlt dich aufs Rad zu schwingen, sind es zur nächsten Straßenbahn- und Bushaltestelle auch nur wenige Meter.","Helena ist 25 Jahre alt und studiert Nachhaltigkeitsmanagement. Sie kann sehr lebendig Geschichten erzählen undspielt gerne ein paar Runden Spikeball. Man trifft sie sonst auch auf Flohmärkten oder in gemütlichen Cafés. 
 Björn ist 23 Jahre alt und studiert Jura. Er ist ein begeisterter Rennradfahrer und mag Spiele jeglicher Art. Für eine Runde Wikingerschach/Kubb im kleinen Park in unserer Straße ist er zum Beispiel leicht zu begeistern. 
 Claudius ist 29 und arbeitet seit Abschluss seines Medizinstudiums in Teilzeit in einer Hausarztpraxis und schreibt nebenher noch seine Doktorarbeit an der Uniklinik. Außerdem macht ihm so ziemlich jede sportliche Aktivität Spaß. Gerade freut er sich besonders über spontane Tischtennis-Sessions. 
 Insgesamt ist alles sehr harmonisch. Du wirst meistens jemanden finden, der Lust hat mit dir zu kochen, Sport zu machen, ein Bier/Wein in der Küche zu trinken oder Karten zu spielen. Wir nehmen uns auch gerne gegenseitig zu WG-Partys mit oder zu was sonst so ansteht.
 Aber jeder respektiert auch, wenn man mal keine Lust hat zu reden oder gerade viel zu tun hat."," Da unsere liebe Mitbewohnerin Anna für ein Auslandssemester nach Kanada geht, ist für die oben angegebene Zeit ihr möbiliertes Zimmer frei für dich :) 
 Schreib uns einfach eine Nachricht (WhatsApp (siehe unten) oder über die Seite hier), in der du dich kurz vorstellst und schreibst, wann du ein- und ausziehen wollen würdest und dann können wir ja einen Termin finden, an dem du vorbeikommen und dir die Wohnung anschauen kannst. 
 Falls du uns über die Seite hier schreibst, würden wir uns freuen, wenn du noch deine Telefonnummer dazuschreibst, damit wir dich zur Terminfindung ggf. auch anrufen können. 
 Bis bald! :)",0.0,0,"Studenten-WG, gemischte WG, Internationals welcome",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Suedvorstadt.3576872.html,4er WG,Südvorstadt,    17,252 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Suedvorstadt.3576872.html

Rubensstraße 2,04317 Leipzig Reudnitz-Thonberg,150,150,01.07.2023,5,"Waschmaschine,Spülmaschine,Balkon,Gartenmitbenutzung,Keller,Fahrradkeller",0,2,0," Das freie WG-Zimmer ist ca. 10 qm groß und liegt in Richtung des Innenhofs, weshalb es sehr ruhig ist. Es ist rechteckig geschnitten (ca. 2 x 5 Meter) und wirkt auf Grund der hohen Wände größer als es auf den Bildern eventuell ausschaut. Es ist möbliert (Bett und Schreibtisch, einen Kleiderschrank müsste man noch über ebay Kleinanzeigen organisieren).Die Wohnung besitzt einen langen Flur mit einem großen Esstisch, eine voll ausgestattete Küche (mit Spülmaschine) sowie ein Bad mit Dusche und Waschmaschine. Von der Küche gelangt man auf unseren kleinen Balkon, der mit Blick in den Hinterhof gelegen ist und gerade im Sommer ein schattiges Plätzchen bietet. Im Hinterhof besteht auch die Möglichkeit, sein Fahrrad abzustellen und der kleine Garten bietet sich super zum Sporttreiben an."," Die WG liegt im Erdgeschoss eines sanierten Altbaus im Leipziger Osten, genauer gesagt im Stadtteil Reudnitz. Der Hauptbahnhof und die Innenstadt sind nur etwa 10 Minuten mit dem Fahrrad entfernt und die nächste ÖPNV-Anbindung (Ostplatz) befindet sich direkt um die Ecke. Auch Supermärkte und weitere Geschäfte sind in unmittelbarer Umgebung.  
 Außerdem liegt der wunderschöne Lene-Voigt-Park direkt vor der Tür. Hier herrscht gerade im Sommer und Herbst immer buntes Treiben. Im Lene-Park gibt es mehrere Tischtennisplatten, drei Beachvolleyballplätze und genügend Grünfläche für Roundnet oder um sich einfach mit einem Buch in die Sonne zu legen.","Mit dir in der WG wohnen werden Mats (24, Psychologie) und Daniel (27, Sportmanagement). Wir sind beide Master-Studierende, wohnen bereits seit Oktober 2020 zusammen in der WG und schreiben derzeit jeweils an unserer Masterarbeit. Daniel spielt hier in dem Leipziger Roundnet-Verein und geht ansonsten gerne zum Padel (eine Mischung aus Tennis und Squash) oder Beachvolleyball. Mats ist besonders gerne auf dem Rad aktiv und nutzt die vielen Leipziger Seen für regelmäßige Ausfahrten. Aufgrundunser ähnlichen Interessen sind wir eine sehr lebendige WG. Vor allem Sport steht dabei im Mittelpunkt, denn wir gehen gerne zusammen Tennis und Roundnet spielen oder trainieren im Garten. Daneben sind wir natürlich auch für weitere gemeinsame WG-Aktivitäten offen. Sonntag Abends schauen wir, wenn es sich anbietet, zusammen Tatort und kochen vorher gemeinsam was (z.B. Pizza, Flammkuchen). Spieleabende stehen für den Sommer ganz oben auf der Agenda, da wir zwar viele Spiele haben, aber bisher viel zu wenig dazu gekommen sind. Ansonsten sitzen wir auch gerne mal auf dem Balkon zusammen und quatschen über alles mögliche oder zocken im Park eine Runde Tischtennis. Es hat aber natürlich auch jeder seine Freiräume, denn bei uns gilt: Alles kann, nichts muss!Auch wenn das Zimmer nur befristet ist, wollen wir auf jeden Fall versuchen, dass wir jemanden finden, der Lust auf gemeinsame WG-Aktivitäten hat. Dementsprechend suchen wir einen aktiven und unternehmungslustigen Mitbewohner. Wenn du sportlich aktiv bist, wäre das natürlich ein super Sache, da wir gerne Sport machen (aber natürlich kein Muss!). Ansonsten wäre ein gewisser Grad an Sauberkeit und Ordnung natürlich nicht verkehrt, aber ich denke, dass versteht sich von selbst. Wir sind uns bewusst, dass das Zimmer nicht das größte ist. Dafür können mit Sicherheit sagen, dass wir eine sehr aktive WG sind, in der man viel Spaß zusammen haben kann! Solltest du neu nach Leipzig kommen, würden wir dir natürlich die Stadt zeigen und alles was man über Leipzig wissen muss :)"," Falls du nach dem Lesen der Anzeige jetzt sagst ""darauf habe ich richtig Bock"", dann freuen wir uns über deine Nachricht. Schreibe uns gerne, weswegen du in Leipzig bist bzw. nach Leipzig kommst und was du so in deiner Freizeit machst.  Wir freuen uns darauf, dich kennenzulernen!  Mats & Daniel",0.0,0,"Studenten-WG, keine Zweck-WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Reudnitz-Thonberg.8265698.html,3er WG,Reudnitz-Thonberg,    10,300 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Reudnitz-Thonberg.8265698.html

